date,product_name,quantity,selling_price,revenue,cost
2024-01-01,Basmati Rice,45,650.75,29283.75,24100.50
2024-01-01,Premium Dark Chocolate,120,180.50,21660.00,14450.25
2024-01-01,Organic Whole Milk,85,95.25,8096.25,7230.10
2024-01-01,Instant Coffee Gold,30,450.00,13500.00,9015.50
2024-01-01,Sun-Dried Tomatoes,15,320.40,4806.00,4005.80
2024-01-01,Greek Yogurt,60,120.99,7259.40,5000.00
2024-01-01,Avocados,40,250.50,10020.00,7500.25
2024-01-01,Sparkling Water,100,60.25,6025.00,3500.75
2024-01-01,Whole Wheat Flour,50,120.45,6022.50,4500.20
2024-01-01,Farm Fresh Eggs,40,85.00,3400.00,2805.50
2024-01-01,Mustard Oil,30,180.25,5407.50,4510.30
2024-01-01,Organic Honey,15,450.60,6759.00,4800.00
2024-01-01,Peanut Butter,20,250.75,5015.00,3605.90
2024-01-01,Himalayan Pink Salt,80,65.20,5216.00,3200.40
2024-01-01,Digestive Biscuits,120,40.50,4860.00,3360.50
2024-01-01,Red Kidney Beans,35,140.30,4910.50,3850.25
2024-01-02,Basmati Rice,38,650.75,24728.50,20210.40
2024-01-02,Premium Dark Chocolate,145,180.50,26172.50,17460.80
2024-01-02,Organic Whole Milk,92,95.25,8763.00,7830.50
2024-01-02,Instant Coffee Gold,25,450.00,11250.00,7510.20
2024-01-02,Sun-Dried Tomatoes,22,320.40,7048.80,5810.30
2024-01-02,Greek Yogurt,55,120.99,6654.45,4810.00
2024-01-02,Avocados,35,250.50,8767.50,6810.40
2024-01-02,Sparkling Water,110,60.25,6627.50,3810.60
2024-01-02,Whole Wheat Flour,45,120.45,5420.25,4060.10
2024-01-02,Farm Fresh Eggs,42,85.00,3570.00,2950.40
2024-01-02,Mustard Oil,28,180.25,5047.00,4210.70
2024-01-02,Organic Honey,12,450.60,5407.20,3850.50
2024-01-02,Peanut Butter,22,250.75,5516.50,3970.30
2024-01-02,Himalayan Pink Salt,75,65.20,4890.00,3010.50
2024-01-02,Digestive Biscuits,130,40.50,5265.00,3650.90
2024-01-02,Red Kidney Beans,30,140.30,4209.00,3310.20
2024-01-03,Basmati Rice,52,650.75,33839.00,27850.40
2024-01-03,Premium Dark Chocolate,110,180.50,19855.00,13250.10
2024-01-03,Organic Whole Milk,78,95.25,7429.50,6640.80
2024-01-03,Instant Coffee Gold,35,450.00,15750.00,10515.50
2024-01-03,Sun-Dried Tomatoes,18,320.40,5767.20,4810.30
2024-01-03,Greek Yogurt,65,120.99,7864.35,5215.20
2024-01-03,Avocados,42,250.50,10521.00,8020.10
2024-01-03,Sparkling Water,95,60.25,5723.75,3315.40
2024-01-03,Whole Wheat Flour,55,120.45,6624.75,4960.30
2024-01-03,Farm Fresh Eggs,38,85.00,3230.00,2670.50
2024-01-03,Mustard Oil,32,180.25,5768.00,4815.10
2024-01-03,Organic Honey,18,450.60,8110.80,5770.90
2024-01-03,Peanut Butter,18,250.75,4513.50,3250.40
2024-01-03,Himalayan Pink Salt,85,65.20,5542.00,3410.80
2024-01-03,Digestive Biscuits,110,40.50,4455.00,3090.20
2024-01-03,Red Kidney Beans,40,140.30,5612.00,4415.50
2024-01-04,Basmati Rice,40,650.75,26030.00,21450.30
2024-01-04,Premium Dark Chocolate,130,180.50,23465.00,15650.40
2024-01-04,Organic Whole Milk,88,95.25,8382.00,7495.20
2024-01-04,Instant Coffee Gold,28,450.00,12600.00,8415.60
2024-01-04,Sun-Dried Tomatoes,20,320.40,6408.00,5315.40
2024-01-04,Greek Yogurt,58,120.99,7017.42,4915.20
2024-01-04,Avocados,38,250.50,9519.00,7215.10
2024-01-04,Sparkling Water,105,60.25,6326.25,3715.40
2024-01-04,Whole Wheat Flour,42,120.45,5058.90,3795.30
2024-01-04,Farm Fresh Eggs,45,85.00,3825.00,3165.20
2024-01-04,Mustard Oil,25,180.25,4506.25,3765.10
2024-01-04,Organic Honey,14,450.60,6308.40,4495.40
2024-01-04,Peanut Butter,25,250.75,6268.75,4515.20
2024-01-04,Himalayan Pink Salt,70,65.20,4564.00,2815.10
2024-01-04,Digestive Biscuits,140,40.50,5670.00,3935.50
2024-01-04,Red Kidney Beans,25,140.30,3507.50,2765.40
2024-01-05,Basmati Rice,47,650.75,30585.25,25150.10
2024-01-05,Premium Dark Chocolate,115,180.50,20757.50,13850.20
2024-01-05,Organic Whole Milk,80,95.25,7620.00,6815.50
2024-01-05,Instant Coffee Gold,32,450.00,14400.00,9615.40
2024-01-05,Sun-Dried Tomatoes,25,320.40,8010.00,6715.20
2024-01-05,Greek Yogurt,62,120.99,7501.38,5115.10
2024-01-05,Avocados,45,250.50,11272.50,8515.40
2024-01-05,Sparkling Water,90,60.25,5422.50,3215.20
2024-01-05,Whole Wheat Flour,52,120.45,6263.40,4695.10
2024-01-05,Farm Fresh Eggs,40,85.00,3400.00,2815.20
2024-01-05,Mustard Oil,32,180.25,5768.00,4815.50
2024-01-05,Organic Honey,20,450.60,9012.00,6415.40
2024-01-05,Peanut Butter,18,250.75,4513.50,3255.20
2024-01-05,Himalayan Pink Salt,85,65.20,5542.00,3415.30
2024-01-05,Digestive Biscuits,115,40.50,4657.50,3235.10
2024-01-05,Red Kidney Beans,38,140.30,5331.40,4195.50
2024-01-06,Basmati Rice,43,650.75,27982.25,22950.40
2024-01-06,Premium Dark Chocolate,140,180.50,25270.00,16850.30
2024-01-06,Organic Whole Milk,95,95.25,9048.75,8090.50
2024-01-06,Instant Coffee Gold,22,450.00,9900.00,6615.10
2024-01-06,Sun-Dried Tomatoes,12,320.40,3844.80,3215.20
2024-01-06,Greek Yogurt,52,120.99,6291.48,4615.40
2024-01-06,Avocados,32,250.50,8016.00,6015.50
2024-01-06,Sparkling Water,115,60.25,6928.75,4015.20
2024-01-06,Whole Wheat Flour,48,120.45,5781.60,4335.10
2024-01-06,Farm Fresh Eggs,42,85.00,3570.00,2955.40
2024-01-06,Mustard Oil,28,180.25,5047.00,4215.30
2024-01-06,Organic Honey,12,450.60,5407.20,3855.20
2024-01-06,Peanut Butter,22,250.75,5516.50,3975.10
2024-01-06,Himalayan Pink Salt,75,65.20,4890.00,3015.40
2024-01-06,Digestive Biscuits,135,40.50,5467.50,3795.50
2024-01-06,Red Kidney Beans,30,140.30,4209.00,3315.20
2024-01-07,Basmati Rice,50,650.75,32537.50,26750.30
2024-01-07,Premium Dark Chocolate,100,180.50,18050.00,12015.40
2024-01-07,Organic Whole Milk,82,95.25,7810.50,6985.20
2024-01-07,Instant Coffee Gold,38,450.00,17100.00,11415.50
2024-01-07,Sun-Dried Tomatoes,30,320.40,9612.00,8015.40
2024-01-07,Greek Yogurt,68,120.99,8227.32,5515.10
2024-01-07,Avocados,50,250.50,12525.00,9515.40
2024-01-07,Sparkling Water,85,60.25,5121.25,3015.20
2024-01-07,Whole Wheat Flour,58,120.45,6986.10,5235.10
2024-01-07,Farm Fresh Eggs,35,85.00,2975.00,2465.40
2024-01-07,Mustard Oil,35,180.25,6308.75,5265.30
2024-01-07,Organic Honey,22,450.60,9913.20,7055.20
2024-01-07,Peanut Butter,15,250.75,3761.25,2715.10
2024-01-07,Himalayan Pink Salt,90,65.20,5868.00,3615.40
2024-01-07,Digestive Biscuits,105,40.50,4252.50,2955.50
2024-01-07,Red Kidney Beans,45,140.30,6313.50,4965.20
2024-01-08,Basmati Rice,35,650.75,22776.25,18650.40
2024-01-08,Premium Dark Chocolate,150,180.50,27075.00,18050.30
2024-01-08,Organic Whole Milk,90,95.25,8572.50,7665.20
2024-01-08,Instant Coffee Gold,20,450.00,9000.00,6015.10
2024-01-08,Sun-Dried Tomatoes,15,320.40,4806.00,4015.20
2024-01-08,Greek Yogurt,50,120.99,6049.50,4215.40
2024-01-08,Avocados,30,250.50,7515.00,5815.50
2024-01-08,Sparkling Water,120,60.25,7230.00,4215.20
2024-01-08,Whole Wheat Flour,40,120.45,4818.00,3615.10
2024-01-08,Farm Fresh Eggs,48,85.00,4080.00,3375.40
2024-01-08,Mustard Oil,22,180.25,3965.50,3315.30
2024-01-08,Organic Honey,10,450.60,4506.00,3215.20
2024-01-08,Peanut Butter,28,250.75,7021.00,5055.10
2024-01-08,Himalayan Pink Salt,70,65.20,4564.00,2815.40
2024-01-08,Digestive Biscuits,150,40.50,6075.00,4215.50
2024-01-08,Red Kidney Beans,25,140.30,3507.50,2765.20
2024-01-09,Basmati Rice,55,650.75,35791.25,29450.40
2024-01-09,Premium Dark Chocolate,125,180.50,22562.50,15050.30
2024-01-09,Organic Whole Milk,75,95.25,7143.75,6390.20
2024-01-09,Instant Coffee Gold,40,450.00,18000.00,12015.50
2024-01-09,Sun-Dried Tomatoes,20,320.40,6408.00,5315.40
2024-01-09,Greek Yogurt,72,120.99,8711.28,5815.10
2024-01-09,Avocados,55,250.50,13777.50,10515.40
2024-01-09,Sparkling Water,80,60.25,4820.00,2815.20
2024-01-09,Whole Wheat Flour,60,120.45,7227.00,5415.10
2024-01-09,Farm Fresh Eggs,32,85.00,2720.00,2255.40
2024-01-09,Mustard Oil,38,180.25,6849.50,5715.30
2024-01-09,Organic Honey,25,450.60,11265.00,8015.20
2024-01-09,Peanut Butter,12,250.75,3009.00,2175.10
2024-01-09,Himalayan Pink Salt,95,65.20,6194.00,3815.40
2024-01-09,Digestive Biscuits,100,40.50,4050.00,2815.50
2024-01-09,Red Kidney Beans,50,140.30,7015.00,5515.20
2024-01-10,Basmati Rice,42,650.75,27331.50,22550.40
2024-01-10,Premium Dark Chocolate,135,180.50,24367.50,16250.30
2024-01-10,Organic Whole Milk,84,95.25,8001.00,7155.20
2024-01-10,Instant Coffee Gold,30,450.00,13500.00,9015.50
2024-01-10,Sun-Dried Tomatoes,10,320.40,3204.00,2715.40
2024-01-10,Greek Yogurt,56,120.99,6775.44,4715.10
2024-01-10,Avocados,36,250.50,9018.00,6815.40
2024-01-10,Sparkling Water,108,60.25,6507.00,3815.20
2024-01-10,Whole Wheat Flour,48,120.45,5781.60,4335.10
2024-01-10,Farm Fresh Eggs,40,85.00,3400.00,2815.40
2024-01-10,Mustard Oil,28,180.25,5047.00,4215.30
2024-01-10,Organic Honey,12,450.60,5407.20,3855.20
2024-01-10,Peanut Butter,20,250.75,5015.00,3615.10
2024-01-10,Himalayan Pink Salt,78,65.20,5085.60,3135.40
2024-01-10,Digestive Biscuits,135,40.50,5467.50,3795.50
2024-01-10,Red Kidney Beans,32,140.30,4489.60,3535.20
2024-01-11,Basmati Rice,48,650.75,31236.00,25750.40
2024-01-11,Premium Dark Chocolate,118,180.50,21299.00,14210.30
2024-01-11,Organic Whole Milk,87,95.25,8286.75,7410.20
2024-01-11,Instant Coffee Gold,34,450.00,15300.00,10215.50
2024-01-11,Sun-Dried Tomatoes,28,320.40,8971.20,7515.40
2024-01-11,Greek Yogurt,63,120.99,7622.37,5215.10
2024-01-11,Avocados,46,250.50,11523.00,8815.40
2024-01-11,Sparkling Water,92,60.25,5543.00,3215.20
2024-01-11,Whole Wheat Flour,55,120.45,6624.75,4965.10
2024-01-11,Farm Fresh Eggs,38,85.00,3230.00,2675.40
2024-01-11,Mustard Oil,32,180.25,5768.00,4815.30
2024-01-11,Organic Honey,18,450.60,8110.80,5775.20
2024-01-11,Peanut Butter,24,250.75,6018.00,4335.10
2024-01-11,Himalayan Pink Salt,85,65.20,5542.00,3415.40
2024-01-11,Digestive Biscuits,118,40.50,4779.00,3315.50
2024-01-11,Red Kidney Beans,42,140.30,5892.60,4635.20
2024-01-12,Basmati Rice,39,650.75,25379.25,20850.40
2024-01-12,Premium Dark Chocolate,142,180.50,25631.00,17090.30
2024-01-12,Organic Whole Milk,91,95.25,8667.75,7750.20
2024-01-12,Instant Coffee Gold,24,450.00,10800.00,7215.50
2024-01-12,Sun-Dried Tomatoes,16,320.40,5126.40,4315.40
2024-01-12,Greek Yogurt,53,120.99,6412.47,4515.10
2024-01-12,Avocados,33,250.50,8266.50,6315.40
2024-01-12,Sparkling Water,112,60.25,6748.00,4015.20
2024-01-12,Whole Wheat Flour,45,120.45,5420.25,4065.10
2024-01-12,Farm Fresh Eggs,44,85.00,3740.00,3095.40
2024-01-12,Mustard Oil,26,180.25,4686.50,3915.30
2024-01-12,Organic Honey,14,450.60,6308.40,4495.20
2024-01-12,Peanut Butter,22,250.75,5516.50,3975.10
2024-01-12,Himalayan Pink Salt,75,65.20,4890.00,3015.40
2024-01-12,Digestive Biscuits,142,40.50,5751.00,3995.50
2024-01-12,Red Kidney Beans,28,140.30,3928.40,3095.20
2024-01-13,Basmati Rice,51,650.75,33188.25,27350.40
2024-01-13,Premium Dark Chocolate,105,180.50,18952.50,12650.30
2024-01-13,Organic Whole Milk,79,95.25,7524.75,6730.20
2024-01-13,Instant Coffee Gold,36,450.00,16200.00,10815.50
2024-01-13,Sun-Dried Tomatoes,24,320.40,7689.60,6415.40
2024-01-13,Greek Yogurt,67,120.99,8106.33,5615.10
2024-01-13,Avocados,48,250.50,12024.00,9215.40
2024-01-13,Sparkling Water,88,60.25,5302.00,3115.20
2024-01-13,Whole Wheat Flour,58,120.45,6986.10,5235.10
2024-01-13,Farm Fresh Eggs,36,85.00,3060.00,2535.40
2024-01-13,Mustard Oil,34,180.25,6128.50,5115.30
2024-01-13,Organic Honey,20,450.60,9012.00,6415.20
2024-01-13,Peanut Butter,18,250.75,4513.50,3255.10
2024-01-13,Himalayan Pink Salt,88,65.20,5737.60,3535.40
2024-01-13,Digestive Biscuits,105,40.50,4252.50,2955.50
2024-01-13,Red Kidney Beans,45,140.30,6313.50,4965.20
2024-01-14,Basmati Rice,41,650.75,26680.75,21950.40
2024-01-14,Premium Dark Chocolate,132,180.50,23826.00,15890.30
2024-01-14,Organic Whole Milk,86,95.25,8191.50,7325.20
2024-01-14,Instant Coffee Gold,29,450.00,13050.00,8715.50
2024-01-14,Sun-Dried Tomatoes,19,320.40,6087.60,5115.40
2024-01-14,Greek Yogurt,57,120.99,6896.43,4815.10
2024-01-14,Avocados,37,250.50,9268.50,7015.40
2024-01-14,Sparkling Water,106,60.25,6386.50,3715.20
2024-01-14,Whole Wheat Flour,46,120.45,5540.70,4155.10
2024-01-14,Farm Fresh Eggs,40,85.00,3400.00,2815.40
2024-01-14,Mustard Oil,28,180.25,5047.00,4215.30
2024-01-14,Organic Honey,14,450.60,6308.40,4495.20
2024-01-14,Peanut Butter,22,250.75,5516.50,3975.10
2024-01-14,Himalayan Pink Salt,78,65.20,5085.60,3135.40
2024-01-14,Digestive Biscuits,132,40.50,5346.00,3715.50
2024-01-14,Red Kidney Beans,32,140.30,4489.60,3535.20
2024-01-15,Basmati Rice,46,650.75,29934.50,24650.40
2024-01-15,Premium Dark Chocolate,112,180.50,20216.00,13490.30
2024-01-15,Organic Whole Milk,83,95.25,7905.75,7070.20
2024-01-15,Instant Coffee Gold,31,450.00,13950.00,9315.50
2024-01-15,Sun-Dried Tomatoes,26,320.40,8330.40,6915.40
2024-01-15,Greek Yogurt,61,120.99,7380.39,5015.10
2024-01-15,Avocados,44,250.50,11022.00,8415.40
2024-01-15,Sparkling Water,93,60.25,5603.25,3315.20
2024-01-15,Whole Wheat Flour,50,120.45,6022.50,4515.10
2024-01-15,Farm Fresh Eggs,42,85.00,3570.00,2955.40
2024-01-15,Mustard Oil,30,180.25,5407.50,4515.30
2024-01-15,Organic Honey,16,450.60,7209.60,5135.20
2024-01-15,Peanut Butter,20,250.75,5015.00,3615.10
2024-01-15,Himalayan Pink Salt,83,65.20,5411.60,3335.40
2024-01-15,Digestive Biscuits,112,40.50,4536.00,3155.50
2024-01-15,Red Kidney Beans,38,140.30,5331.40,4195.20
2024-01-16,Basmati Rice,44,650.75,28633.00,23550.40
2024-01-16,Premium Dark Chocolate,138,180.50,24909.00,16610.30
2024-01-16,Organic Whole Milk,94,95.25,8953.50,8005.20
2024-01-16,Instant Coffee Gold,23,450.00,10350.00,6915.50
2024-01-16,Sun-Dried Tomatoes,11,320.40,3524.40,2915.40
2024-01-16,Greek Yogurt,51,120.99,6170.49,4415.10
2024-01-16,Avocados,31,250.50,7765.50,5915.40
2024-01-16,Sparkling Water,116,60.25,6989.00,4015.20
2024-01-16,Whole Wheat Flour,48,120.45,5781.60,4335.10
2024-01-16,Farm Fresh Eggs,45,85.00,3825.00,3165.40
2024-01-16,Mustard Oil,28,180.25,5047.00,4215.30
2024-01-16,Organic Honey,12,450.60,5407.20,3855.20
2024-01-16,Peanut Butter,22,250.75,5516.50,3975.10
2024-01-16,Himalayan Pink Salt,75,65.20,4890.00,3015.40
2024-01-16,Digestive Biscuits,138,40.50,5589.00,3885.50
2024-01-16,Red Kidney Beans,30,140.30,4209.00,3315.20
2024-01-17,Basmati Rice,49,650.75,31886.75,26250.40
2024-01-17,Premium Dark Chocolate,102,180.50,18411.00,12290.30
2024-01-17,Organic Whole Milk,81,95.25,7715.25,6900.20
2024-01-17,Instant Coffee Gold,37,450.00,16650.00,11115.50
2024-01-17,Sun-Dried Tomatoes,29,320.40,9291.60,7715.40
2024-01-17,Greek Yogurt,69,120.99,8348.31,5715.10
2024-01-17,Avocados,51,250.50,12775.50,9615.40
2024-01-17,Sparkling Water,84,60.25,5061.00,2915.20
2024-01-17,Whole Wheat Flour,55,120.45,6624.75,4965.10
2024-01-17,Farm Fresh Eggs,38,85.00,3230.00,2675.40
2024-01-17,Mustard Oil,32,180.25,5768.00,4815.30
2024-01-17,Organic Honey,20,450.60,9012.00,6415.20
2024-01-17,Peanut Butter,18,250.75,4513.50,3255.10
2024-01-17,Himalayan Pink Salt,88,65.20,5737.60,3535.40
2024-01-17,Digestive Biscuits,112,40.50,4536.00,3155.50
2024-01-17,Red Kidney Beans,45,140.30,6313.50,4965.20
2024-01-18,Basmati Rice,36,650.75,23427.00,19250.40
2024-01-18,Premium Dark Chocolate,148,180.50,26714.00,17810.30
2024-01-18,Organic Whole Milk,89,95.25,8477.25,7580.20
2024-01-18,Instant Coffee Gold,21,450.00,9450.00,6315.50
2024-01-18,Sun-Dried Tomatoes,14,320.40,4485.60,3715.40
2024-01-18,Greek Yogurt,49,120.99,5928.51,4115.10
2024-01-18,Avocados,29,250.50,7264.50,5615.40
2024-01-18,Sparkling Water,121,60.25,7290.25,4215.20
2024-01-18,Whole Wheat Flour,40,120.45,4818.00,3615.10
2024-01-18,Farm Fresh Eggs,48,85.00,4080.00,3375.40
2024-01-18,Mustard Oil,22,180.25,3965.50,3315.30
2024-01-18,Organic Honey,10,450.60,4506.00,3215.20
2024-01-18,Peanut Butter,28,250.75,7021.00,5055.10
2024-01-18,Himalayan Pink Salt,72,65.20,4694.40,2895.40
2024-01-18,Digestive Biscuits,148,40.50,5994.00,4165.50
2024-01-18,Red Kidney Beans,25,140.30,3507.50,2765.20
2024-01-19,Basmati Rice,54,650.75,35140.50,28950.40
2024-01-19,Premium Dark Chocolate,122,180.50,22021.00,14690.30
2024-01-19,Organic Whole Milk,76,95.25,7239.00,6475.20
2024-01-19,Instant Coffee Gold,39,450.00,17550.00,11715.50
2024-01-19,Sun-Dried Tomatoes,21,320.40,6728.40,5615.40
2024-01-19,Greek Yogurt,73,120.99,8832.27,6015.10
2024-01-19,Avocados,56,250.50,14028.00,10615.40
2024-01-19,Sparkling Water,79,60.25,4759.75,2715.20
2024-01-19,Whole Wheat Flour,62,120.45,7467.90,5595.10
2024-01-19,Farm Fresh Eggs,32,85.00,2720.00,2255.40
2024-01-19,Mustard Oil,40,180.25,7210.00,6015.30
2024-01-19,Organic Honey,24,450.60,10814.40,7695.20
2024-01-19,Peanut Butter,15,250.75,3761.25,2715.10
2024-01-19,Himalayan Pink Salt,95,65.20,6194.00,3815.40
2024-01-19,Digestive Biscuits,122,40.50,4941.00,3435.50
2024-01-19,Red Kidney Beans,55,140.30,7716.50,6065.20
2024-01-20,Basmati Rice,43,650.75,27982.25,23050.40
2024-01-20,Premium Dark Chocolate,134,180.50,24187.00,16130.30
2024-01-20,Organic Whole Milk,85,95.25,8096.25,7235.20
2024-01-20,Instant Coffee Gold,31,450.00,13950.00,9315.50
2024-01-20,Sun-Dried Tomatoes,9,320.40,2883.60,2415.40
2024-01-20,Greek Yogurt,55,120.99,6654.45,4715.10
2024-01-20,Avocados,37,250.50,9268.50,7115.40
2024-01-20,Sparkling Water,105,60.25,6326.25,3815.20
2024-01-20,Whole Wheat Flour,48,120.45,5781.60,4335.10
2024-01-20,Farm Fresh Eggs,40,85.00,3400.00,2815.40
2024-01-20,Mustard Oil,28,180.25,5047.00,4215.30
2024-01-20,Organic Honey,12,450.60,5407.20,3855.20
2024-01-20,Peanut Butter,22,250.75,5516.50,3975.10
2024-01-20,Himalayan Pink Salt,75,65.20,4890.00,3015.40
2024-01-20,Digestive Biscuits,134,40.50,5427.00,3775.50
2024-01-20,Red Kidney Beans,30,140.30,4209.00,3315.20
2024-01-21,Basmati Rice,47,650.75,30585.25,25150.40
2024-01-21,Premium Dark Chocolate,116,180.50,20938.00,13970.30
2024-01-21,Organic Whole Milk,88,95.25,8382.00,7495.20
2024-01-21,Instant Coffee Gold,33,450.00,14850.00,9915.50
2024-01-21,Sun-Dried Tomatoes,27,320.40,8650.80,7215.40
2024-01-21,Greek Yogurt,64,120.99,7743.36,5315.10
2024-01-21,Avocados,47,250.50,11773.50,9015.40
2024-01-21,Sparkling Water,91,60.25,5482.75,3215.20
2024-01-21,Whole Wheat Flour,54,120.45,6504.30,4875.10
2024-01-21,Farm Fresh Eggs,38,85.00,3230.00,2675.40
2024-01-21,Mustard Oil,32,180.25,5768.00,4815.30
2024-01-21,Organic Honey,18,450.60,8110.80,5775.20
2024-01-21,Peanut Butter,25,250.75,6268.75,4515.10
2024-01-21,Himalayan Pink Salt,88,65.20,5737.60,3535.40
2024-01-21,Digestive Biscuits,116,40.50,4698.00,3265.50
2024-01-21,Red Kidney Beans,45,140.30,6313.50,4965.20
2024-01-22,Basmati Rice,37,650.75,24077.75,19750.40
2024-01-22,Premium Dark Chocolate,144,180.50,25992.00,17330.30
2024-01-22,Organic Whole Milk,92,95.25,8763.00,7835.20
2024-01-22,Instant Coffee Gold,26,450.00,11700.00,7815.50
2024-01-22,Sun-Dried Tomatoes,17,320.40,5446.80,4615.40
2024-01-22,Greek Yogurt,52,120.99,6291.48,4415.10
2024-01-22,Avocados,34,250.50,8517.00,6415.40
2024-01-22,Sparkling Water,111,60.25,6687.75,4015.20
2024-01-22,Whole Wheat Flour,42,120.45,5058.90,3795.10
2024-01-22,Farm Fresh Eggs,44,85.00,3740.00,3095.40
2024-01-22,Mustard Oil,24,180.25,4326.00,3615.30
2024-01-22,Organic Honey,12,450.60,5407.20,3855.20
2024-01-22,Peanut Butter,24,250.75,6018.00,4335.10
2024-01-22,Himalayan Pink Salt,75,65.20,4890.00,3015.40
2024-01-22,Digestive Biscuits,144,40.50,5832.00,4055.50
2024-01-22,Red Kidney Beans,28,140.30,3928.40,3095.20
2024-01-23,Basmati Rice,50,650.75,32537.50,26850.40
2024-01-23,Premium Dark Chocolate,108,180.50,19494.00,13010.30
2024-01-23,Organic Whole Milk,80,95.25,7620.00,6815.20
2024-01-23,Instant Coffee Gold,35,450.00,15750.00,10515.50
2024-01-23,Sun-Dried Tomatoes,23,320.40,7369.20,6115.40
2024-01-23,Greek Yogurt,68,120.99,8227.32,5615.10
2024-01-23,Avocados,49,250.50,12274.50,9315.40
2024-01-23,Sparkling Water,87,60.25,5241.75,3115.20
2024-01-23,Whole Wheat Flour,58,120.45,6986.10,5235.10
2024-01-23,Farm Fresh Eggs,36,85.00,3060.00,2535.40
2024-01-23,Mustard Oil,34,180.25,6128.50,5115.30
2024-01-23,Organic Honey,18,450.60,8110.80,5775.20
2024-01-23,Peanut Butter,16,250.75,4012.00,2895.10
2024-01-23,Himalayan Pink Salt,88,65.20,5737.60,3535.40
2024-01-23,Digestive Biscuits,108,40.50,4374.00,3045.50
2024-01-23,Red Kidney Beans,45,140.30,6313.50,4965.20
2024-01-24,Basmati Rice,42,650.75,27331.50,22550.40
2024-01-24,Premium Dark Chocolate,131,180.50,23645.50,15770.30
2024-01-24,Organic Whole Milk,87,95.25,8286.75,7410.20
2024-01-24,Instant Coffee Gold,27,450.00,12150.00,8115.50
2024-01-24,Sun-Dried Tomatoes,20,320.40,6408.00,5315.40
2024-01-24,Greek Yogurt,58,120.99,7017.42,4815.10
2024-01-24,Avocados,38,250.50,9519.00,7215.40
2024-01-24,Sparkling Water,104,60.25,6266.00,3615.20
2024-01-24,Whole Wheat Flour,46,120.45,5540.70,4155.10
2024-01-24,Farm Fresh Eggs,40,85.00,3400.00,2815.40
2024-01-24,Mustard Oil,28,180.25,5047.00,4215.30
2024-01-24,Organic Honey,14,450.60,6308.40,4495.20
2024-01-24,Peanut Butter,22,250.75,5516.50,3975.10
2024-01-24,Himalayan Pink Salt,78,65.20,5085.60,3135.40
2024-01-24,Digestive Biscuits,131,40.50,5305.50,3685.50
2024-01-24,Red Kidney Beans,32,140.30,4489.60,3535.20
2024-01-25,Basmati Rice,46,650.75,29934.50,24650.40
2024-01-25,Premium Dark Chocolate,114,180.50,20577.00,13730.30
2024-01-25,Organic Whole Milk,82,95.25,7810.50,6985.20
2024-01-25,Instant Coffee Gold,32,450.00,14400.00,9615.50
2024-01-25,Sun-Dried Tomatoes,25,320.40,8010.00,6715.40
2024-01-25,Greek Yogurt,62,120.99,7501.38,5115.10
